Mean	Min	Max	Sample
170.965636088409	149.740411770152	197.836189217896	160398
670.600543713194	634.232293395399	725.900359197003	198151
63.8503082780332	43.1461588298741	75.9460044758424	187057
81.428519939065	52.5617990031419	103.084443316455	107430
98.3475704443138	84.5463678429032	112.00402609895	127581
668.991111821619	618.135786133874	763.191994956064	108719
163.996188842379	158.427962922491	194.493127988048	119327
402.983313372119	374.011187285051	438.17341987921	182516
159.347713588622	139.611936310022	181.976413315938	122372
604.946405453616	541.083770643303	673.973064184415	188324
671.732256685995	645.216125629764	702.070214697618	108031
6539.16257866516	6104.64425669441	7553.57150379399	134961
1271.65736422064	1193.23280588395	1335.82971666185	163882
120.209662270897	87.4684010962429	137.983975565063	165133
585.560336013936	541.625942680714	610.986898670799	167702
1154.35465834126	1096.9172237374	1199.68379525677	180422
461.033322554742	438.595149280515	482.981314737995	163298
809.748927747885	752.709327850214	877.756727885401	181633
9419.84296712443	9200.77263140921	9918.81082828648	167904
328.957146282886	303.122302622914	377.186240857133	177904
1066.14988926618	1025.03181889276	1149.4049498116	148353
504.991956942713	446.887763790099	555.541639519336	116757
966.27099003407	908.609491268148	1028.30954938397	119591
271.009984828817	244.640024270747	289.418269451744	173266
622.355342854772	585.380744429276	658.006183042893	139625
469.426704329139	435.122481708573	520.263045414196	196865
1257.53896765218	1209.42697966573	1312.94366782093	135469
1666.15589009106	1567.13007950178	1778.95895480209	151281
1674.32271015576	1586.38907555427	1720.27537436092	167251
899.395735217719	827.829152642708	954.663669879143	179414
136.928011224426	108.424899131466	155.569175172024	MB83
235.52859924805	193.587699116481	267.991741267906	MB84
131.48114019357	116.26232515991	151.562186382327	MB86
50.0925637146302	27.114054937736	56.6366227463982	MB88
160.776291698737	150.017120351584	192.421313774044	MB89
535.097796383871	506.785312634493	561.178233452072	MB91
587.743820575941	524.393162972454	677.29959478031	MB92
568.84991247824	538.357113270765	605.190149906066	MB94
130.888726015827	121.249782659457	146.719293742406	MB95
164.82641733652	120.844489229218	179.716207645447	MB96
315.701026505919	296.573291497788	351.044085118355	MB98
461.32464362666	412.724232146282	524.674565190893	MB99
