x	p	B	CN	Peak
0.851851851851852	1.50143036597709e-07	1	3	non-amplified
0.888888888888889	1.16360853363224e-08	1	3	non-amplified
0.925925925925926	6.49293561766794e-10	1	3	non-amplified
0.962962962962963	2.32247312478123e-11	1	3	non-amplified
1	3.99981482601212e-13	1	3	non-amplified
0	8.13898354550171e-12	2	3	amplified
0.037037037037037	3.81999769771121e-10	2	3	amplified
0.0740740740740741	8.632480778566e-09	2	3	amplified
0.111111111111111	1.25049955203526e-07	2	3	amplified
0.148148148148148	1.30425934586108e-06	2	3	amplified
0.185185185185185	1.04291990310163e-05	2	3	amplified
0.222222222222222	6.64739601790007e-05	2	3	amplified
0.259259259259259	0.000346658596073668	2	3	amplified
0.296296296296296	0.00150650698293697	2	3	amplified
0.333333333333333	0.00552855210560671	2	3	amplified
0.37037037037037	0.0172986845323096	2	3	amplified
0.407407407407407	0.0464727616747349	2	3	amplified
0.444444444444444	0.107712569115273	2	3	amplified
0.481481481481481	0.216044621014819	2	3	amplified
0.518518518518518	0.375554201016414	2	3	amplified
0.555555555555556	0.565788198166785	2	3	amplified
0.592592592592593	0.737639753684733	2	3	amplified
0.62962962962963	0.829692653127524	2	3	amplified
0.666666666666667	0.801260817662095	2	3	amplified
0.703703703703704	0.659769114002138	2	3	amplified
0.740740740740741	0.458755346558496	2	3	amplified
0.777777777777778	0.265820855015204	2	3	amplified
0.814814814814815	0.126022121579	2	3	amplified
0.851851851851852	0.0476231503732103	2	3	amplified
0.888888888888889	0.0137973613230796	2	3	amplified
0.925925925925926	0.002878103782534	2	3	amplified
0.962962962962963	0.00038485068551497	2	3	amplified
1	2.47775103862182e-05	2	3	amplified
0	0	3	3	amplified
0.037037037037037	0	3	3	amplified
0.0740740740740741	0	3	3	amplified
0.111111111111111	0	3	3	amplified
0.148148148148148	0	3	3	amplified
0.185185185185185	0	3	3	amplified
0.222222222222222	0	3	3	amplified
0.259259259259259	0	3	3	amplified
0.296296296296296	0	3	3	amplified
0.333333333333333	0	3	3	amplified
0.37037037037037	0	3	3	amplified
0.407407407407407	0	3	3	amplified
0.444444444444444	0	3	3	amplified
0.481481481481481	0	3	3	amplified
0.518518518518518	0	3	3	amplified
0.555555555555556	0	3	3	amplified
0.592592592592593	0	3	3	amplified
0.62962962962963	0	3	3	amplified
0.666666666666667	0	3	3	amplified
0.703703703703704	0	3	3	amplified
0.740740740740741	0	3	3	amplified
0.777777777777778	0	3	3	amplified
0.814814814814815	0	3	3	amplified
0.851851851851852	0	3	3	amplified
0.888888888888889	0	3	3	amplified
0.925925925925926	0	3	3	amplified
0.962962962962963	0	3	3	amplified
1	0	3	3	amplified
0	0.00480657620153759	1	4	non-amplified
0.027027027027027	0.0564485621484328	1	4	non-amplified
0.0540540540540541	0.322508167359989	1	4	non-amplified
0.0810810810810811	1.19427085865388	1	4	non-amplified
0.108108108108108	3.22208571251158	1	4	non-amplified
0.135135135135135	6.749884676927	1	4	non-amplified
0.162162162162162	11.4264259377331	1	4	non-amplified
0.189189189189189	16.0616216374863	1	4	non-amplified
0.216216216216216	19.1177151743118	1	4	non-amplified
0.243243243243243	19.5527030053541	1	4	non-amplified
0.27027027027027	17.3772145481031	1	4	non-amplified
0.297297297297297	13.5383759634772	1	4	non-amplified
0.324324324324324	9.31052135372237	1	4	non-amplified
0.351351351351351	5.68310899117996	1	4	non-amplified
0.378378378378378	3.09232064073956	1	4	non-amplified
0.405405405405405	1.50499973846233	1	4	non-amplified
0.432432432432432	0.656832223740172	1	4	non-amplified
0.459459459459459	0.257537308364697	1	4	non-amplified
0.486486486486487	0.0908265820171282	1	4	non-amplified
0.513513513513513	0.0288289151112386	1	4	non-amplified
0.540540540540541	0.00823542728604324	1	4	non-amplified
0.567567567567568	0.00211607517296187	1	4	non-amplified
0.594594594594595	0.000488476552492594	1	4	non-amplified
0.621621621621622	0.000101116603461518	1	4	non-amplified
0.648648648648649	1.87221014941549e-05	1	4	non-amplified
0.675675675675676	3.0901052158953e-06	1	4	non-amplified
0.702702702702703	4.52685405741555e-07	1	4	non-amplified
0.72972972972973	5.85383858012399e-08	1	4	non-amplified
0.756756756756757	6.63587259814157e-09	1	4	non-amplified
0.783783783783784	6.53668984894016e-10	1	4	non-amplified
0.810810810810811	5.53276137384698e-11	1	4	non-amplified
0.837837837837838	3.96546037033403e-12	1	4	non-amplified
0.864864864864865	2.35999028012625e-13	1	4	non-amplified
0.891891891891892	1.13496274719072e-14	1	4	non-amplified
0.918918918918919	4.23816645206736e-16	1	4	non-amplified
0.945945945945946	1.1530457729174e-17	1	4	non-amplified
0.972972972972973	2.03324339934239e-19	1	4	non-amplified
1	1.74422688071989e-21	1	4	non-amplified
0	8.62870136553617e-09	2	4	amplified
0.027027027027027	2.96913613988096e-07	2	4	amplified
0.0540540540540541	4.97033389816078e-06	2	4	amplified
